,name,online_order,rate,votes,location,rest_type,approx_cost
70,The Good Bowl,Yes,3.6,6,Banashankari,"Takeaway, Delivery",500
71,The Biryani Cafe,No,4.1,520,Banashankari,Quick Bites,300
72,Spicy Tandoor,No,0.0,0,Banashankari,Quick Bites,150
73,LSD Cafe,No,2.9,84,Banashankari,Delivery,700
74,Rolls On Wheels,No,3.6,299,Banashankari,Quick Bites,300
75,Om Sri Vinayaka Chats,No,0.0,0,Banashankari,"Takeaway, Delivery",500
76,Sri Guru Kottureshwara Davangere Benne Dosa,Yes,4.1,558,Basavanagudi,Quick Bites,150
77,Devanna Dum Biriyani Centre,Yes,3.6,28,Banashankari,Quick Bites,300
78,Kolbeh,No,3.7,22,Banashankari,Quick Bites,500
79,Upahar Sagar,No,3.8,39,Banashankari,Quick Bites,350
80,Kadalu Sea Food Restaurant,Yes,3.8,153,Vijay Nagar,Fine Dining,500
81,Frozen Bottle,Yes,4.2,146,Banashankari,Beverage Shop,400
82,Parimala Sweets,No,3.0,14,Banashankari,Sweet Shop,200
83,Vaishali Deluxe,No,3.8,42,Banashankari,Casual Dining,700
84,Chill Out,No,0.0,0,Banashankari,Quick Bites,100
85,The Big O Bakes,No,4.0,66,Banashankari,Bakery,300
86,Meghana Foods,Yes,4.4,4401,Jayanagar,Casual Dining,600
87,Krishna Sagar,No,3.0,31,Banashankari,Quick Bites,200
88,Dessert Rose,No,3.0,7,Banashankari,Dessert Parlor,500
89,Chickpet Donne Biryani House,No,3.7,21,Banashankari,Quick Bites,250
90,Me And My Cake,No,0.0,0,Banashankari,Delivery,500
91,Sunsadm,No,0.0,0,Banashankari,"Takeaway, Delivery",400
92,Annapooraneshwari Mess,No,0.0,0,Banashankari,Mess,200
93,Thanco's Natural Ice Creams,No,3.2,9,Banashankari,Dessert Parlor,300
94,Nandhini Deluxe,No,2.6,283,Banashankari,Casual Dining,600
95,Vi Ra's Bar and Restaurant,No,3.3,62,Banashankari,Bar,800
96,Kaggis,No,3.8,64,Banashankari,Quick Bites,250
97,Ayda Persian Kitchen,No,3.7,39,Banashankari,Casual Dining,950
98,Chatar Patar,No,3.7,65,Banashankari,Quick Bites,300
99,Polar Bear,Yes,3.8,71,Basavanagudi,Dessert Parlor,400
100,Kidambi's Kitchen,No,3.0,52,Banashankari,Quick Bites,300
101,Mane Thindi,No,3.7,130,Banashankari,Quick Bites,200
102,Kotian Karavali Restaurant,No,3.0,10,Banashankari,Quick Bites,300
103,Floured-Baked With Love,No,3.8,45,Banashankari,"Takeaway, Delivery",400
104,CAFE NOVA,No,3.2,11,Banashankari,Cafe,600
105,Cakes & Slices,No,3.0,13,Banashankari,Bakery,300
106,Spice 9,No,3.4,8,Banashankari,Quick Bites,300
107,Coffee Shopee,No,0.0,0,Banashankari,"Takeaway, Delivery",250
108,Naveen Kabab & Biriyani Mane,No,3.2,9,Banashankari,Quick Bites,300
109,Katriguppe Donne Biryani,No,3.2,4,Banashankari,Quick Bites,300
110,Hari Super Sandwich,No,0.0,0,Banashankari,"Takeaway, Delivery",200
111,Atithi Point Ande Ka Funda,No,3.1,29,Banashankari,Quick Bites,150
112,Just Bake,No,3.4,8,Banashankari,Bakery,400
113,Dharwad Line Bazaar Mishra Pedha,No,0.0,0,Banashankari,Dessert Parlor,150
114,Cake Bite,No,0.0,0,Banashankari,Bakery,300
115,Aarush's Food Plaza,No,0.0,0,Banashankari,Quick Bites,200
116,Wood Stove,No,0.0,0,Banashankari,"Takeaway, Delivery",150
117,Kulfi & More,No,0.0,0,Banashankari,Dessert Parlor,150
118,Kannadigas Karavali,No,0.0,0,Banashankari,Quick Bites,250
119,K27 - The Pub,No,3.1,30,Banashankari,Bar,1000
120,Bengaluru Coffee House,Yes,4.1,201,Banashankari,Quick Bites,300
121,New Mangalore Lunch Home,No,3.3,7,Banashankari,Quick Bites,200
122,Coffee Bytes,No,3.1,6,Banashankari,Quick Bites,100
123,Parjanya Chat Zone,No,3.3,17,Banashankari,Quick Bites,200
124,Kwality Wall's Swirl's Happiness Station,No,2.9,25,Banashankari,Dessert Parlor,200
125,Soms Kitchen & Bakes,No,0.0,0,Banashankari,Delivery,400
126,Banashankari Nati Style,No,0.0,0,Banashankari,Quick Bites,350
127,Ruchi Maayaka,No,3.3,8,Banashankari,Delivery,100
128,Mohitesh Hut Roll,No,0.0,0,Banashankari,Quick Bites,150
129,Sri Basaveshwar Jolada Rotti Oota,No,0.0,0,Banashankari,Quick Bites,150
130,Roll Magic Fast Food,No,0.0,0,Banashankari,"Takeaway, Delivery",200
131,Foodlieious Multi Cuisine,No,0.0,0,Banashankari,Quick Bites,100
132,Thanishka Nati And Karavali Style,No,0.0,0,Banashankari,Quick Bites,400
133,Swathi Cool Point,No,0.0,0,Banashankari,Beverage Shop,200
134,Kaumudis Juoice,No,0.0,0,Banashankari,"Beverage Shop, Quick Bites",150
135,Amma - Manae,No,0.0,0,Banashankari,"Takeaway, Delivery",400
136,Sri Sai Tiffannies,No,0.0,0,Banashankari,Quick Bites,150
137,Hotel Andhra Speices,No,0.0,0,Banashankari,Quick Bites,250
138,Sri Murari Family Restaurant,No,0.0,0,Banashankari,Quick Bites,250
139,Aramane Donne Biriyani,No,0.0,0,Banashankari,Quick Bites,150
140,Darkolates,No,0.0,0,Banashankari,Confectionery,200
141,Swaada Healthy Kitchen,No,0.0,0,Banashankari,"Quick Bites, Beverage Shop",350
142,Gawdaru Mane Beriyani,No,0.0,0,Banashankari,Quick Bites,300
143,Melting Melodies,No,0.0,0,Banashankari,"Takeaway, Delivery",100
144,New Indraprasta,No,0.0,0,Banashankari,Quick Bites,150
145,Anna Kuteera,Yes,4.0,771,Banashankari,Casual Dining,450
146,Darbar,No,3.0,98,Banashankari,Bar,800
147,Vijayalakshmi,Yes,3.9,47,Basavanagudi,Quick Bites,200
148,Sri Udupi Food Hub,Yes,4.1,175,Jayanagar,Casual Dining,500
149,Udupi Upahar,Yes,3.8,58,Banashankari,Quick Bites,300
150,House Of Kebabs,Yes,3.8,540,Basavanagudi,Casual Dining,650
151,Roll N Rock,Yes,3.8,124,Kumaraswamy Layout,Quick Bites,400
152,BOX8- Desi Meals,Yes,4.1,340,Banashankari,"Takeaway, Delivery",500
153,KFC,Yes,3.8,505,Banashankari,Quick Bites,450
154,Bitez,No,0.0,0,Banashankari,Quick Bites,100
155,Roll Over,Yes,4.1,438,Jayanagar,Dessert Parlor,500
156,Imperial Restaurant,Yes,3.7,264,Mysore Road,Casual Dining,750
157,Lassi Shop,Yes,3.9,169,Kumaraswamy Layout,Beverage Shop,150
158,The Fortuna,Yes,3.0,67,Kumaraswamy Layout,Quick Bites,250
159,Wahab,Yes,3.7,97,Jayanagar,Quick Bites,350
160,Al Diwan Biryanis And More,Yes,3.3,12,Basavanagudi,"Takeaway, Delivery",300
161,New Gowda's Fried Chicken,Yes,3.3,12,Banashankari,Quick Bites,300
162,Canton,Yes,3.6,195,Jayanagar,Casual Dining,800
163,Diabetics Dezire Sugarless Sweets and Bakes,Yes,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop",300
164,The Blue Wagon - Kitchen,Yes,4.6,228,Jayanagar,Cafe,400
165,HOT COFFEE,Yes,4.1,70,Basavanagudi,Quick Bites,150
166,Patio 805,Yes,4.1,364,Jayanagar,Casual Dining,1200
167,Lassi Corner,Yes,3.7,107,Basavanagudi,Beverage Shop,150
168,Sagar Deluxe,Yes,3.2,167,Kumaraswamy Layout,Quick Bites,300
169,Kanti Sweets,Yes,4.0,115,Banashankari,Sweet Shop,400
170,Vegetalia,Yes,3.7,27,Banashankari,"Takeaway, Delivery",400
171,Aramane Donne Biryani,Yes,3.0,57,Banashankari,Quick Bites,200
172,Ande Ka Funda,Yes,3.8,120,Banashankari,Quick Bites,250
173,Cake Ghar,Yes,3.8,15,Basavanagudi,Bakery,400
174,Energy Addaa,Yes,4.2,64,Basavanagudi,Quick Bites,500
175,Bhattara Bhojana,Yes,3.6,66,Banashankari,Quick Bites,150
176,Tandoori Knight,Yes,3.0,290,Banashankari,Quick Bites,450
177,Dev Sagar - Food Street,Yes,4.1,233,Basavanagudi,Quick Bites,200
178,Mitraa Da Pizza,Yes,3.8,115,Kumaraswamy Layout,Quick Bites,250
179,Paradise Premium,Yes,3.1,119,Banashankari,Casual Dining,700
180,Grazers,Yes,3.9,291,Jayanagar,Cafe,650
181,Shakes Theory,Yes,4.0,155,Jayanagar,Beverage Shop,300
182,@Italy,Yes,4.1,305,Kumaraswamy Layout,Casual Dining,700
183,Chilli Flakes,Yes,3.6,46,Banashankari,Quick Bites,500
184,Calcutta Cafe,Yes,3.0,45,Kumaraswamy Layout,Quick Bites,350
185,Old Mumbai Ice Cream,Yes,3.9,38,Banashankari,Dessert Parlor,150
186,Donne Biriyani House,Yes,3.9,441,Banashankari,Quick Bites,400
187,By 2 Coffee,Yes,3.9,25,Basavanagudi,Quick Bites,100
188,Kedia's Fun Food,Yes,4.3,630,Jayanagar,Quick Bites,200
189,Davangere Butter Dosa Hotel,Yes,3.8,25,Kumaraswamy Layout,Quick Bites,150
190,Just Shawarma,Yes,3.9,160,Kumaraswamy Layout,Quick Bites,300
191,Mini Punjabi Dhaba,Yes,4.2,287,Banashankari,Quick Bites,350
192,Mulabagilu Dosa,Yes,3.6,11,Basavanagudi,Quick Bites,100
193,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,4.1,402,Banashankari,Cafe,500
194,Gokul Veg,Yes,3.8,469,Basavanagudi,Casual Dining,750
195,Olive - Era,Yes,3.3,511,Kumaraswamy Layout,Casual Dining,550
196,Udupi Ruchi,Yes,3.9,57,Banashankari,Quick Bites,200
197,Madhappa Hindu Military Hotel,Yes,3.4,14,Banashankari,Quick Bites,300
198,Gama Gama,Yes,3.9,264,Banashankari,Quick Bites,200
199,The Vintage Cafe,Yes,3.0,62,Banashankari,Cafe,400
200,Pizza Hut,Yes,3.8,693,Banashankari,Casual Dining,750
201,Mangalore Pearl,Yes,3.8,242,Jayanagar,Casual Dining,650
202,Asha Sweets Centre,Yes,3.6,27,Basavanagudi,Dessert Parlor,250
203,Twiststick House,Yes,4.1,163,Basavanagudi,Quick Bites,500
204,Cool Corner,Yes,4.2,191,Basavanagudi,Quick Bites,250
205,Pizza Mane,Yes,3.0,32,Banashankari,Quick Bites,150
206,Dal Tadkaa,Yes,2.0,247,Banashankari,Casual Dining,500
207,Chutney Chang,Yes,4.1,2339,Jayanagar,Casual Dining,1500
208,Mystique Palate,Yes,4.1,337,Jayanagar,Quick Bites,300
209,Thamboola,Yes,3.9,135,Banashankari,Casual Dining,800
210,Castle Rock,Yes,3.6,172,Uttarahalli,Casual Dining,700
211,Vietnamese Kitchen,Yes,3.6,105,Banashankari,Casual Dining,700
212,Smacznego,Yes,4.2,504,Banashankari,Cafe,550
213,C Corner,Yes,3.2,36,Kumaraswamy Layout,Quick Bites,200
214,Paratha Merchant,Yes,3.1,39,Kumaraswamy Layout,Quick Bites,300
215,North Rasoe,Yes,3.1,5,Kumaraswamy Layout,Casual Dining,500
216,Inchara Restaurant,Yes,0.0,0,Basavanagudi,Quick Bites,300
217,Toscano,Yes,4.3,1129,Jayanagar,Casual Dining,1300
218,Lord Of The Kitchen,Yes,3.9,56,Kumaraswamy Layout,Quick Bites,350
219,Stoned Monkey,Yes,4.3,860,Banashankari,Dessert Parlor,500
220,Central Jail Restaurant,Yes,3.8,412,Jayanagar,Casual Dining,700
221,Bella,Yes,3.9,142,Jayanagar,Casual Dining,1000
222,Vennela Andhra Meals,Yes,3.0,23,Jayanagar,Quick Bites,400
223,New Prashanth Hotel,Yes,3.6,143,Jayanagar,Casual Dining,750
224,The Grillo,Yes,2.8,80,Jayanagar,Casual Dining,500
225,Re Malnad Nati Style Hotel,Yes,3.6,16,JP Nagar,Casual Dining,400
226,Karma Kaapi,Yes,4.4,181,Jayanagar,Beverage Shop,250
227,Tiwari's,Yes,3.8,70,Jayanagar,Quick Bites,200
228,Pizza Stop,Yes,3.8,164,Basavanagudi,Quick Bites,600
229,Biggies Burger 'n' More,Yes,3.6,58,Kumaraswamy Layout,Quick Bites,650
230,Srinathji's Cafe,No,3.8,148,Basavanagudi,"Casual Dining, Cafe",550
231,Kollapuri's,No,3.9,206,Basavanagudi,Quick Bites,450
232,Sugar Stars Co,No,0.0,0,Basavanagudi,Bakery,300
233,Bombay Kulfis,No,0.0,0,JP Nagar,Dessert Parlor,200
234,Kadamba Classic,No,3.6,16,Mysore Road,Quick Bites,300
235,RS Shiv Sagar,No,3.7,217,Basavanagudi,Casual Dining,450
236,Kholi Mane,No,3.6,46,Basavanagudi,Quick Bites,450
237,Harshi Super Sandwich,No,3.8,148,Basavanagudi,Quick Bites,150
238,Cake Yard,No,3.4,30,Basavanagudi,Dessert Parlor,250
239,Rosewood International Hotel - Bar & Restaurant,No,3.6,8,Mysore Road,Casual Dining,800
240,Sri Udupi Veg,No,3.3,4,Jayanagar,Quick Bites,250
241,Cake Art,No,3.0,15,Basavanagudi,"Bakery, Quick Bites",400
242,Aahar Cafe,No,0.0,0,Basavanagudi,Quick Bites,100
243,Akash Gowdru Biryani Center,No,0.0,0,Uttarahalli,Quick Bites,300
244,New Sri Udupi Restaurant,No,0.0,0,Jayanagar,Quick Bites,200
245,Potato House,Yes,3.4,9,Uttarahalli,Quick Bites,200
246,Hotel Biriyani Counter,No,0.0,0,Vijay Nagar,Quick Bites,350
247,Matru Sagar,Yes,3.7,31,Mysore Road,Quick Bites,300
248,Ugadi,Yes,2.9,177,Jayanagar,Casual Dining,700
249,Sri Krishna Sweets,Yes,3.7,22,Basavanagudi,Sweet Shop,250
250,In Time Cane Juice,Yes,3.0,10,Kumaraswamy Layout,Beverage Shop,100
251,Subway,Yes,3.7,136,Banashankari,Quick Bites,600
252,Daal Roti,Yes,2.9,35,Kumaraswamy Layout,Quick Bites,250
253,The Lassi Park,Yes,4.1,185,Jayanagar,Quick Bites,200
254,Cafe Coffee Day,Yes,3.2,17,Jayanagar,Cafe,900
255,A2B - Adyar Ananda Bhavan,Yes,3.8,155,Mysore Road,Casual Dining,400
256,Srikrishna Bhavan,Yes,3.8,42,Banashankari,Quick Bites,300
257,Timepass Dinner,Yes,3.8,286,Basavanagudi,Casual Dining,600
258,Green Gardenia,Yes,3.8,160,Banashankari,Casual Dining,700
259,J Spice,Yes,3.8,59,Banashankari,Casual Dining,750
260,Karavali Family Restaurant,Yes,3.0,90,Jayanagar,Casual Dining,500
261,Karavali Lunch Home,Yes,3.7,51,Kumaraswamy Layout,Quick Bites,350
262,Hatti Kaapi,Yes,4.0,89,Jayanagar,Quick Bites,200
263,Kolkata Kathi Roll's,Yes,3.6,18,Banashankari,Quick Bites,250
264,Upahara Darshini,Yes,3.9,40,Basavanagudi,Casual Dining,600
265,The Chaat Shop,Yes,2.0,35,Basavanagudi,Quick Bites,200
266,Anda Ka Funda,Yes,3.4,89,Jayanagar,Quick Bites,250
267,Shri Vinayaka Ice N Juice,Yes,3.2,11,Basavanagudi,Quick Bites,150
268,My Tea House,Yes,3.6,62,Banashankari,"Quick Bites, Cafe",600
269,Ibaco,Yes,3.9,33,Jayanagar,Dessert Parlor,300
270,Jalaram Sweets,Yes,3.8,32,Jayanagar,Sweet Shop,250
271,Samskruti - Sanman Gardenia,Yes,4.1,139,Jayanagar,Casual Dining,550
272,Bendakaluru Bytes,Yes,3.2,154,Vijay Nagar,Quick Bites,300
273,Cocoa Bakes,Yes,3.6,14,Banashankari,Bakery,350
274,Chumma Delicious,Yes,3.7,237,Banashankari,Quick Bites,200
275,New Prashanth Hotel,Yes,3.9,388,Banashankari,Casual Dining,650
276,SSV Upahar,Yes,0.0,0,Jayanagar,Quick Bites,300
277,Dwaraka Grand,Yes,3.9,128,Kumaraswamy Layout,Casual Dining,500
278,Gufha - The President Hotel,Yes,4.1,1875,Jayanagar,Casual Dining,1200
279,Cafe Vivacity,Yes,3.8,90,Banashankari,Cafe,650
280,Tanna's Kitchen,Yes,3.1,7,Kumaraswamy Layout,Quick Bites,250
281,Shree Mandarathi Grand,Yes,3.7,38,Uttarahalli,Casual Dining,400
282,Mojo Pizza - 2X Toppings,Yes,4.2,179,Banashankari,Delivery,600
283,Iceberg Icecreams,Yes,4.0,43,Basavanagudi,Dessert Parlor,250
284,South Kitchen,Yes,4.3,275,Basavanagudi,Quick Bites,100
285,Chung Wah,Yes,3.7,323,Jayanagar,Casual Dining,850
286,Shanthi Sagar,Yes,3.1,28,Uttarahalli,Casual Dining,400
287,Millet Mama,Yes,3.9,18,Basavanagudi,Quick Bites,200
288,Bangarpet Chat Express,Yes,3.3,6,Basavanagudi,Quick Bites,100
289,South Cool Point,Yes,0.0,0,Basavanagudi,Dessert Parlor,100
290,Prems Graama Bhojanam,Yes,4.3,322,Jayanagar,Casual Dining,400
291,Java City,Yes,2.6,157,Jayanagar,Cafe,450
292,Kamat Bugle Rock,Yes,3.9,543,Basavanagudi,Quick Bites,300
293,Woodee Pizza,Yes,3.7,180,Banashankari,Cafe,500
294,Puliyogare Point,Yes,4.2,444,Basavanagudi,Quick Bites,100
295,Bangalore Agarwal Bhavan,Yes,3.9,134,Jayanagar,Quick Bites,400
296,Rustic Stove,Yes,3.8,577,Jayanagar,Casual Dining,900
297,Udupi Ruchi Grand,Yes,4.2,60,Banashankari,Quick Bites,200
298,De Thaali,Yes,3.9,144,Jayanagar,Casual Dining,550
299,Spice Elephant,Yes,4.1,787,Banashankari,Casual Dining,800
300,Just Thindi,Yes,3.6,16,Basavanagudi,Quick Bites,200
301,Matru Sagar,Yes,3.6,84,Banashankari,Quick Bites,250
302,Vasanth Vihar - Since 1965,Yes,3.6,95,Banashankari,Quick Bites,150
303,Sea Spice by 7 Star,Yes,4.0,349,Banashankari,Casual Dining,1200
304,Desi Dawat,Yes,3.7,248,Kumaraswamy Layout,Quick Bites,400
305,Cafe Aira,Yes,4.1,216,Basavanagudi,Cafe,500
306,Donne Biriyani combos,Yes,0.0,0,Kumaraswamy Layout,Casual Dining,400
307,Penthouse Cafe,Yes,4.0,324,Banashankari,Cafe,700
308,Mast Punjabi,Yes,2.6,231,Kumaraswamy Layout,Quick Bites,400
309,South Grand,Yes,3.4,102,Uttarahalli,Casual Dining,400
310,Catch-up-ino,Yes,3.9,133,Banashankari,Cafe,800
311,The Pizzeria,Yes,2.8,45,Banashankari,Casual Dining,800
312,Cafe Zone,Yes,3.9,149,Kumaraswamy Layout,Quick Bites,300
313,Ruchis Point,Yes,3.8,75,Banashankari,Quick Bites,200
314,Firangi Bake,Yes,4.0,53,Rajarajeshwari Nagar,Delivery,600
315,The Royal Corner - Pai Viceroy,Yes,4.2,815,Jayanagar,Casual Dining,900
316,Hara Fine Dine,Yes,4.0,633,Banashankari,Casual Dining,800
317,Chocoberry,Yes,3.0,56,Jayanagar,Dessert Parlor,400
318,Dakshin Grand,Yes,3.0,82,Banashankari,Quick Bites,300
319,Sandwichwallas,Yes,3.7,35,Jayanagar,Quick Bites,200
320,Chai Mane,Yes,3.6,20,Basavanagudi,Quick Bites,150
321,SLV Upachar,Yes,3.1,14,Kumaraswamy Layout,Quick Bites,250
322,Waffle-A-Go Go,Yes,3.9,70,Banashankari,Dessert Parlor,400
323,Cross Road Cafe,Yes,3.9,91,Jayanagar,Cafe,300
324,Anand Donne Biriyani,Yes,3.6,45,Jayanagar,Quick Bites,200
325,Seven Star,Yes,3.4,7,Banashankari,Quick Bites,250
326,Stop 'N' Joy,Yes,3.8,28,Banashankari,Quick Bites,150
327,Sri Yaksha Shiv Sagar,Yes,3.6,24,Banashankari,Casual Dining,600
328,Fudge,Yes,3.8,36,Basavanagudi,Dessert Parlor,200
329,Just Bunny,Yes,3.0,11,Jayanagar,Quick Bites,200
330,Bakers Town,Yes,3.8,77,Kumaraswamy Layout,Cafe,650
331,Shree Mahalakshmi Sweets,Yes,3.2,8,Banashankari,Sweet Shop,100
332,Kaapi Kendra,Yes,3.7,14,Jayanagar,Quick Bites,100
333,Ivy,Yes,3.8,210,Kumaraswamy Layout,Casual Dining,600
334,The Airos,Yes,4.1,130,Jayanagar,Cafe,650
335,Chai Kraft,Yes,4.1,30,Jayanagar,Beverage Shop,100
336,Kirthi's Biryani,Yes,3.8,144,Banashankari,Cafe,700
337,South Point Pub,Yes,3.4,11,Basavanagudi,Bar,800
338,The Trundle,Yes,3.7,133,Jayanagar,Casual Dining,700
339,The Krishna Grand Xpress,Yes,4.0,136,Jayanagar,Quick Bites,350
340,Sri Krishna Darshini,Yes,3.1,4,Basavanagudi,Quick Bites,200
341,Shringar Sweets & Snacks,Yes,3.0,11,Basavanagudi,"Sweet Shop, Quick Bites",200
342,Udupi Grand,Yes,3.8,74,Basavanagudi,Quick Bites,300
343,Ganesh Grand,Yes,3.7,30,Basavanagudi,Quick Bites,300
344,Shreyas Upahar & Burger Point,Yes,3.0,7,Basavanagudi,Quick Bites,200
345,Coffee Tindi,Yes,3.8,75,Banashankari,"Cafe, Quick Bites",200
346,Little Cafe,Yes,3.7,54,Basavanagudi,Cafe,600
347,Mumbai Badam Milk & Lassi Center,Yes,3.6,23,Basavanagudi,Kiosk,100
348,Sri Krishna Sagar,Yes,3.2,119,Banashankari,Casual Dining,400
349,Mylari Biryani Family Restaurant,Yes,3.7,73,Banashankari,Quick Bites,400
350,1980s Games Cafe,Yes,3.4,58,Basavanagudi,Cafe,400
351,Kadala Tarangaa,Yes,3.6,129,Banashankari,Casual Dining,600
352,Namma Biryani,Yes,3.6,24,Banashankari,Quick Bites,250
353,Nandhanu's Rasoi,Yes,3.0,175,Kumaraswamy Layout,Quick Bites,400
354,Hotel Pork Paradise,Yes,3.7,21,Mysore Road,Quick Bites,300
355,As On Fire,Yes,3.0,41,South Bangalore,Food Truck,400
356,J K Fish Land,Yes,3.6,35,Jayanagar,Quick Bites,300
357,Curry Leaves,Yes,4.1,176,Basavanagudi,Casual Dining,800
358,Lassi Shop,Yes,3.0,45,Banashankari,Beverage Shop,300
359,Magic Meals,Yes,3.7,47,Jayanagar,"Quick Bites, Dessert Parlor",400
360,Desi Cream Junction,Yes,3.7,36,Jayanagar,Casual Dining,650
361,Drunken Monkey,Yes,3.8,52,Kumaraswamy Layout,"Beverage Shop, Quick Bites",400
362,Ruchi's Corner,Yes,2.7,123,Banashankari,Quick Bites,200
363,Tandoori Bytes,Yes,3.6,59,Kumaraswamy Layout,Casual Dining,700
364,Bangalore Donne Biriyani,Yes,3.2,4,Kumaraswamy Layout,Quick Bites,300
365,SGS Non Veg - Gundu Pulav,Yes,3.8,101,Banashankari,Quick Bites,400
